index feature_name type(cont/sym) range(if symbolic)
0 duration continuous
1 protocol symbolic 3
4 service symbolic 70
74 flag symbolic 11
85 src_bytes integer
86 dst_bytes integer
87 land symbolic 2
89 wrong_fragment integer
90 urgent integer
91 hot integer
92 num_failed_logins integer
93 login symbolic 2
95 num_compromised integer
96 root_shell integer
97 su_attempted integer
98 num_root integer
99 num_file_creations integer
100 num_shells integer
101 num_access_files integer
126 num_outbound_cmds integer (this feature is always zero, ignored in preprocessing) 19
102 host_login symbolic 2
104 guest_login symbolic 2
106 count integer
107 srv_count integer
108 serror_rate continuous
109 srv_serror_rate continuous
110 rerror_rate continuous
111 srv_rerror_rate continuous
112 same_srv_rate continuous
113 diff_srv_rate continuous
114 srv_diff_host_rate continuous
115 dst_host_count integer
116 dst_host_srv_count integer
117 dst_host_same_srv_rate continuous
118 dst_host_diff_srv_rate continuous
119 dst_host_same_src_port_rate continuous
120 dst_host_srv_diff_host_rate continuous
121 dst_host_serror_rate continuous
122 dst_host_srv_serror_rate continuous
123 dst_host_rerror_rate continuous
124 dst_host_srv_rerror_rate continuous
125 traffic label
127 difficulty not_used
